subarea,valm2
Baro de viver,1934.0
Can peguera el turo de la peira,2565.0
Canyelles,2251.0
Ciutat meridiana torre baro vallbona,1755.0
Diagonal mar i el front maritim del poblenou,5789.0
El besos,2966.0
El bon pastor,2421.0
El camp de l arpa del clot,3766.0
El clot,3628.0
El congres i els indians,3170.0
El parc i la llacuna del poblenou,4551.0
El poblenou,4731.0
La guineueta,3049.0
La prosperitat,2421.0
La sagrera,3476.0
La trinitat nova,2068.0
La trinitat vella,1876.0
La verneda i la pau,2540.0
La vila olimpica del poblenou,5536.0
Les roquetes,2012.0
Navas,3641.0
Porta,2880.0
Provencals del poblenou,3659.0
Sant andreu,3360.0
Sant marti de provencals,2900.0
Verdun,2378.0
Vilapicina i la torre llobeta,2921.0
